Back of male dorsal fin curve,Open Saddle,White Scar Pattern,Black Scar Pattern,Location of Largest,Total Nicks,Low Nicks,Mid Nicks,Upper Nicks,Fin Condition,Sex,Number of Whales,Whale ID List
curved inward,closed,No scars,grid scars,none,0,0,0,0,whole,male,3,1 105 264 
no curve,closed,No scars,grid scars,none,0,0,0,0,whole,male,3,17 215 407 
no curve,open,No scars,grid scars,none,0,0,0,0,whole,male,4,25 192 341 444 
curved inward,open,No scars,grid scars,none,0,0,0,0,whole,male,4,158 165 262 423 
uncertain,open,No scars,grid scars,none,0,0,0,0,whole,male,1,360 
curved inward,uncertain,No scars,grid scars,none,0,0,0,0,whole,male,2,89 174 
no curve,uncertain,No scars,grid scars,none,0,0,0,0,whole,male,1,348 
no curve,open,Isolated scars,grid scars,none,0,0,0,0,whole,male,1,195 
no curve,open,parralel scars,grid scars,none,0,0,0,0,whole,male,1,342 
no curve,closed,grid scars,grid scars,none,0,0,0,0,whole,male,1,369 
curved inward,closed,No scars,mixed scars (blurred pattern),none,0,0,0,0,whole,male,3,5 30 58 
no curve,closed,No scars,mixed scars (blurred pattern),none,0,0,0,0,whole,male,4,36 266 267 364 
curved inward,open,No scars,mixed scars (blurred pattern),none,0,0,0,0,whole,male,1,129 
no curve,open,No scars,mixed scars (blurred pattern),none,0,0,0,0,whole,male,1,301 
curved inward,uncertain,No scars,mixed scars (blurred pattern),none,0,0,0,0,whole,male,2,151 157 
no curve,uncertain,No scars,mixed scars (blurred pattern),none,0,0,0,0,whole,male,1,299 
no curve,open,Isolated scars,mixed scars (blurred pattern),none,0,0,0,0,whole,male,1,154 
no curve,open,mixed scars (blurred pattern),mixed scars (blurred pattern),none,0,0,0,0,whole,male,1,282 
curved inward,closed,Isolated scars,parralel scars,none,0,0,0,0,whole,male,2,12 280 
curved inward,open,Isolated scars,parralel scars,none,0,0,0,0,whole,male,1,349 
no curve,closed,No scars,parralel scars,none,0,0,0,0,whole,male,11,13 14 69 146 233 237 265 359 365 418 433 
curved inward,closed,No scars,parralel scars,none,0,0,0,0,whole,male,18,35 41 43 44 45 56 80 84 210 227 245 257 290 387 401 406 410 445 
uncertain,closed,No scars,parralel scars,none,0,0,0,0,whole,male,1,350 
no curve,open,No scars,parralel scars,none,0,0,0,0,whole,male,4,54 246 384 404 
curved inward,open,No scars,parralel scars,none,0,0,0,0,whole,male,11,160 181 196 197 222 247 279 316 340 389 426 
uncertain,open,No scars,parralel scars,none,0,0,0,0,whole,male,1,214 
curved inward,uncertain,No scars,parralel scars,none,0,0,0,0,whole,male,6,156 161 162 184 260 277 
no curve,uncertain,No scars,parralel scars,none,0,0,0,0,whole,male,2,317 382 
curved inward,closed,parralel scars,parralel scars,none,0,0,0,0,whole,male,1,32 
curved inward,closed,No scars,No scars,none,0,0,0,0,whole,male,2,19 206 
curved inward,uncertain,No scars,No scars,none,0,0,0,0,whole,male,2,179 212 
no curve,open,No scars,No scars,none,0,0,0,0,whole,male,1,427 
no curve,open,parralel scars,No scars,none,0,0,0,0,whole,male,1,155 
no curve,closed,parralel scars,uncertain (picture quality),none,0,0,0,0,whole,male,1,49 
curved inward,open,No scars,uncertain (picture quality),none,0,0,0,0,whole,male,2,109 226 
curved inward,closed,No scars,uncertain (picture quality),none,0,0,0,0,whole,male,3,112 259 292 
no curve,uncertain,No scars,uncertain (picture quality),none,0,0,0,0,whole,male,2,217 263 
curved inward,open,mixed scars (blurred pattern),uncertain (picture quality),none,0,0,0,0,whole,male,1,177 
curved inward,closed,Isolated scars,uncertain (picture quality),none,0,0,0,0,whole,male,1,420 
curved inward,closed,No scars,Isolated scars,none,0,0,0,0,whole,male,1,68 
no curve,closed,No scars,Isolated scars,none,0,0,0,0,whole,male,1,392 
curved inward,open,No scars,Isolated scars,none,0,0,0,0,whole,male,3,134 219 243 
no curve,open,No scars,Isolated scars,none,0,0,0,0,whole,male,3,191 232 320 
no curve,uncertain,No scars,Isolated scars,none,0,0,0,0,whole,male,1,143 
curved inward,open,parralel scars,Isolated scars,none,0,0,0,0,whole,male,1,159 
no curve,open,parralel scars,Isolated scars,none,0,0,0,0,whole,male,1,281 
curved inward,open,Isolated scars,Isolated scars,none,0,0,0,0,whole,male,1,242 
no curve,open,Isolated scars,Isolated scars,none,0,0,0,0,whole,male,1,254 
no curve,open,No scars,grid scars,middle,0,0,0,0,whole,male,1,15 
curved inward,closed,parralel scars,grid scars,lower,1,1,0,0,whole,male,1,21 
no curve,uncertain,No scars,grid scars,lower,1,1,0,0,whole,male,1,120 
curved inward,uncertain,No scars,grid scars,lower,1,1,0,0,whole,male,1,186 
curved inward,closed,No scars,grid scars,lower,1,1,0,0,whole,male,1,144 
curved inward,closed,No scars,Isolated scars,lower,1,1,0,0,whole,male,1,52 
no curve,uncertain,No scars,Isolated scars,lower,1,1,0,0,whole,male,1,123 
no curve,uncertain,Isolated scars,Isolated scars,lower,1,1,0,0,whole,male,1,193 
no curve,open,No scars,parralel scars,lower,1,1,0,0,whole,male,1,72 
curved inward,open,No scars,parralel scars,lower,1,1,0,0,whole,male,2,189 306 
no curve,closed,No scars,parralel scars,lower,1,1,0,0,whole,male,1,231 
no curve,uncertain,No scars,parralel scars,lower,1,1,0,0,whole,male,1,347 
no curve,open,No scars,uncertain (picture quality),lower,1,1,0,0,whole,male,1,91 
no curve,uncertain,No scars,uncertain (picture quality),lower,1,1,0,0,whole,male,2,173 318 
curved inward,closed,Isolated scars,uncertain (picture quality),lower,1,1,0,0,whole,male,1,117 
no curve,closed,Isolated scars,mixed scars (blurred pattern),lower,1,1,0,0,whole,male,1,167 
no curve,closed,No scars,No scars,lower,1,1,0,0,whole,male,1,202 
curved inward,closed,No scars,parralel scars,upper,1,1,0,0,whole,male,3,23 26 296 
curved inward,closed,Isolated scars,parralel scars,lower,2,2,0,0,whole,male,1,31 
curved inward,open,No scars,parralel scars,lower,2,2,0,0,whole,male,1,51 
no curve,open,No scars,grid scars,lower,2,2,0,0,whole,male,1,60 
no curve,open,Isolated scars,mixed scars (blurred pattern),none,2,1,1,0,whole,male,1,8 
no curve,closed,No scars,parralel scars,multiple knicks the same size in multiple areas,2,1,1,0,whole,male,1,67 
curved inward,open,No scars,parralel scars,middle,2,1,1,0,whole,male,1,70 
